0,지점명,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,주소,위도,경도,DT여부,시도명
826,동두천DT,4,24,1,7,43,2,3,0,425,83,경기도 동두천시 평화로 2254 (지행동),37.888925,127.057066,1,경기도
827,광주운남DT,1,11,0,12,29,4,1,0,565,83,광주광역시 광산구 임방울대로 156 (운남동),35.175136,126.818062,1,광주광역시
828,광주선운DT,0,6,0,3,15,5,2,2,174,32,광주광역시 광산구 선운로 20번길 63 ,35.146768,126.77772,1,광주광역시
829,광주산정DT,3,21,0,10,48,5,3,1,716,87,광주광역시 광산구 용아로 342 (산정동),35.173524,126.804191,1,광주광역시
830,광주흑석DT,4,15,0,12,49,6,3,0,704,97,광주광역시 광산구 사암로 367 (산정동),35.176936,126.807887,1,광주광역시
831,광주송정역,1,33,3,5,27,6,3,1,445,58,광주광역시 광산구 상무대로205번길 6 (송정동),35.138026,126.791444,0,광주광역시
832,광주수완DT,1,13,0,6,17,9,0,3,101,33,광주광역시 광산구 임방울대로 487 (수완동),35.203175,126.819065,1,광주광역시
833,광주신가DT,1,9,0,9,20,9,0,0,335,86,광주광역시 광산구 목련로 335 (신가동),35.1790467,126.8301259,1,광주광역시
834,광주쌍암,2,42,0,10,60,2,6,3,826,137,광주광역시 광산구 첨단중앙로 158 (쌍암동),35.2192427,126.8424211,0,광주광역시
835,광주장덕,4,12,0,14,33,2,4,1,601,151,광주광역시 광산구 장신로 85 (장덕동),35.191469,126.819259,0,광주광역시
836,광주하남,2,30,0,7,45,6,3,2,552,65,"광주광역시 광산구 사암로216번길 38-16, 1~2층 (우산동)",35.162722,126.810218,0,광주광역시
837,광주첨단,1,32,0,12,67,1,3,3,937,144,광주광역시 광산구 첨단중앙로 104 (월계동),35.214806,126.843227,0,광주광역시
838,광산수완,4,12,0,12,28,2,4,1,670,167,"광주광역시 광산구 장신로 134, 1~2층 (수완동)",35.190397,126.824804,0,광주광역시
839,광주월산DT,0,75,1,8,36,9,1,8,563,92,광주광역시 남구 대남대로 386,35.145516,126.890794,1,광주광역시
840,광주주월DT,1,54,0,12,32,9,1,1,605,110,광주광역시 남구 회재로 1256 (주월동),35.1341387,126.8981372,1,광주광역시
841,광주효천DT,1,2,0,2,7,4,1,3,62,16,"광주광역시 남구 임암동 141-3, 143-2",35.100033,126.871253,1,광주광역시
842,광주봉선로,2,50,0,11,30,2,2,2,619,122,광주광역시 남구 제석로 104 (봉선동),35.124262,126.907898,0,광주광역시
843,광주서문대로,1,23,0,13,22,1,2,0,346,61,광주광역시 남구 서문대로 665 (진월동),35.119448,126.898595,0,광주광역시
844,광주방림DT,1,60,1,10,34,2,18,4,588,153,광주광역시 남구 대남대로 67 (방림동),35.13498,126.917698,1,광주광역시
845,광주봉선중앙,3,56,0,11,30,2,4,3,602,118,광주광역시 남구 봉선중앙로 51 (봉선동),35.1254197,126.9112507,0,광주광역시
846,광주진월,1,38,0,14,26,5,3,1,455,95,광주광역시 남구 서문대로 745 (주월동),35.125781,126.897221,0,광주광역시
847,광주봉선,2,41,0,12,27,1,4,5,421,97,"광주광역시 남구 봉선로 176, 1층 101,111호 (봉선동)",35.122921,126.914111,0,광주광역시
848,광주지산DT,1,96,1,13,46,4,28,7,881,338,광주광역시 동구 필문대로 240,35.149728,126.92907,1,광주광역시
849,광주동명,1,148,2,12,71,3,45,11,1433,514,광주광역시 동구 동명로 16 (동명동),35.150362,126.9236181,0,광주광역시
850,광주지원DT,2,16,1,3,3,2,0,4,45,15,광주광역시 동구 남문로 529 (용산동),35.1175025,126.9340006,1,광주광역시
851,광주지산유원지입구,1,28,0,3,11,3,2,4,256,72,광주광역시 동구 무등로 592 (산수동),35.154459,126.940912,0,광주광역시
852,광주황금,0,168,3,7,61,1,61,11,1285,474,광주광역시 동구 중앙로160번길 14 (황금동),35.1473572,126.9145683,0,광주광역시
853,광주무등산,0,12,0,1,0,0,2,9,48,20,광주광역시 동구 증심사길 16 (운림동),35.133909,126.954311,0,광주광역시
854,충장서림,0,184,3,5,65,0,61,11,1349,522,광주광역시 동구 충장로 93-5 (금남로2가),35.14808817,126.9173077,0,광주광역시
855,광주충장로,0,177,3,6,64,0,57,11,1277,457,광주광역시 동구 충장로 65 (충장로3가),35.149486,126.914792,0,광주광역시
856,충장일가,0,174,3,8,67,0,61,12,1370,534,광주광역시 동구 서석로 43 (충장로1가),35.146797,126.918252,0,광주광역시
857,조선대,0,81,2,9,42,2,19,3,707,287,광주광역시 동구 지산로 3 (서석동),35.144608,126.930183,0,광주광역시
858,광주오치,2,36,0,8,49,8,3,5,679,112,광주광역시 북구 설죽로 314 (오치동),35.187457,126.898994,0,광주광역시
859,광주연제DT,1,6,0,2,13,4,0,1,97,27,광주광역시 북구 양일로18번길 2 (연제동),35.197688,126.866803,1,광주광역시
860,광주신안DT,0,38,0,7,47,9,3,3,622,117,광주광역시 북구 서암대로 93 (신안동),35.171678,126.894998,1,광주광역시
861,광주매곡DT,2,34,0,8,38,8,1,2,512,87,광주광역시 북구 설죽로 339 (매곡동),35.189836,126.898698,1,광주광역시
862,광주두암타운,2,33,0,6,17,3,2,3,336,53,광주광역시 북구 삼정로 4 (두암동),35.162112,126.937388,0,광주광역시
863,광주일곡,2,11,0,10,23,2,2,0,322,80,광주광역시 북구 설죽로 518 (일곡동),35.205463,126.898114,0,광주광역시
864,광주북구청,1,70,0,8,49,2,6,3,687,178,광주광역시 북구 서방로9번길 30 (중흥동),35.17483,126.914469,0,광주광역시
865,광주운암DT,0,38,0,14,29,8,15,2,578,82,광주광역시 북구 북문대로 78 (운암동),35.1776306,126.8784132,1,광주광역시
866,광주첨단신용,0,6,0,5,23,5,0,1,324,64,광주광역시 북구 첨단연신로 101 (신용동),35.20701,126.864115,0,광주광역시
867,광주용두DT,0,8,0,6,36,10,2,0,467,80,광주광역시 북구 임방울대로 1016 (신용동),35.212837,126.868485,1,광주광역시
868,전남대,1,56,0,8,49,3,8,3,757,191,"광주광역시 북구 우치로 110, 1,2,3층 (용봉동)",35.17719867,126.9124787,0,광주광역시
869,광주용봉,0,35,0,10,47,3,8,6,688,138,광주광역시 북구 저불로 45 (용봉동),35.178664,126.895196,0,광주광역시
870,광주신세계DT,1,80,2,4,44,5,10,3,511,120,광주광역시 서구 죽봉대로 33 (화정동),35.1563,126.8831,1,광주광역시
871,광주상무DT,1,70,2,7,76,5,9,3,1083,205,광주광역시 서구 상무대로 847 (쌍촌동),35.1502,126.855,1,광주광역시
872,광주화정DT,1,108,3,9,41,5,9,2,575,127,광주광역시 서구 상무대로 1080,35.152205,126.879997,1,광주광역시
